"last_name","count"
"Breugel","180"
"Maierhofer","218"
"Spinelli","210"
"Birrer","201"
"DasSarma","198"
"Ariola","199"
"Cronau","206"
"Liedekerke","207"
"Panangaden","229"
"Naudin","204"
"Figueira","200"
"Yeung","201"
"Fargier","218"
"Muniz","190"
"Irland","209"
"Kambil","207"
"Hiraishi","214"
"Jonsson","219"
"Camurati","215"
"Mandell","252"
"Fendler","194"
"Bruckman","211"
"Manders","217"
"Angelov","194"
"Niizuma","179"
"Guardalben","165"
"Leijenhorst","177"
"Matteis","195"
"Cichocki","183"
"Iacovou","211"
"Thimonier","213"
"Katzenelson","206"
"Salvesen","217"
"Staudhammer","200"
"Krybus","224"
"Manderick","208"
"Menhardt","202"
"Waterhouse","203"
"Bain","201"
"Mamelak","181"
"Zeleznik","204"
"Greibach","192"
"McClurg","217"
"Docker","216"
"Rosti","163"
"Lupu","194"
"Benveniste","201"
"Delgrossi","205"
"Rosin","220"
"Pettit","204"
"Solares","237"
"Erol","205"
"Butterworth","183"
"Kitsuregawa","229"
"Hanabata","212"
"Adachi","250"
"Nastansky","202"
"Axelband","169"
"Heystek","227"
"McAlpine","190"
"Onuegbe","226"
"Dayana","183"
"Wielonsky","181"
"Rijsenbrij","188"
"Covnot","196"
"Veccia","177"
"Marwedel","177"
"Wissmann","198"
"DuCasse","201"
"Kaltofen","201"
"Ushiama","201"
"Sidje","178"
"Ebeling","184"
"Gischer","186"
"Benzaken","182"
"Mahnke","234"
"Krider","174"
"Minakawa","180"
"Langford","213"
"Michaels","221"
"Cromarty","190"
"Stemann","178"
"Zlotek","200"
"Sinitsyn","194"
"Narwekar","206"
"Cronan","207"
"Domenig","225"
"Ruemmler","204"
"Gyorkos","184"
"Sethi","198"
"DeMori","221"
"Soicher","224"
"Nitsche","187"
"Birke","199"
"Valiente","191"
"Pokrovskii","233"
"Haddadi","205"
"Schoegge","188"
"Mundy","180"
"Comyn","187"
"Anguita","175"
"Gils","206"
"Guerreiro","175"
"Ramamoorthy","204"
"Chenney","228"
"Slaats","178"
"Schiper","216"
"Rosaz","243"
"Munoz","196"
"Beeson","190"
"Tsunoo","185"
"Kaelbling","220"
"Bridgland","199"
"Chepyzhov","220"
"Mansanne","195"
"Verhaegen","200"
"Falck","193"
"Attimonelli","195"
"Peternell","196"
"Perez","217"
"Karcich","214"
"Herbst","222"
"Perry","208"
"Butner","209"
"Olivero","193"
"Perfilyeva","209"
"Marakhovsky","224"
"Ghandeharizadeh","223"
"Bade","193"
"Chinal","195"
"Tibblin","184"
"Rosis","207"
"Baalen","199"
"Kandlur","178"
"Menhoudj","220"
"Braunmuhl","224"
"Strandh","212"
"Bernardeschi","224"
"Haldar","199"
"Jervis","207"
"Conta","224"
"Angelopoulos","223"
"Narahara","206"
"Gimarc","187"
"Lubachevsky","216"
"Streit","186"
"Zirintsis","214"
"Zallocco","220"
"Plessier","214"
"Dahlbom","212"
"Mattern","203"
"Plotkin","191"
"Koshino","202"
"Otillio","215"
"Lieblein","192"
"Beilner","207"
"Rahimi","205"
"Siksek","238"
"Weisert","220"
"Oskamp","190"
"Kalloufi","216"
"Socorro","186"
"Schurmann","191"
"Kisuki","210"
"Rosca","206"
"Iisaku","193"
"Skrikant","201"
"Shihab","213"
"Slutz","176"
"Facello","197"
"Zhiwei","203"
"Czap","218"
"Suri","211"
"Fordan","198"
"Parhami","206"
"Kropatsch","194"
"Bodoff","206"
"Stellhorn","201"
"Henders","202"
"Zumaque","215"
"Bonifati","212"
"Shackel","211"
"Plavsic","198"
"Rando","196"
"Matzke","198"
"Giveon","201"
"Farrow","180"
"Straney","207"
"Orlowska","193"
"Lortz","202"
"Sooriamurthi","208"
"Chvatal","215"
"Isaac","202"
"Beausoleil","196"
"Uchoa","191"
"Lundstrom","200"
"Rebaine","196"
"Dratva","203"
"Awdeh","207"
"Foote","232"
"Demir","197"
"Gire","190"
"Bahk","217"
"Motley","201"
"Cools","218"
"Feldmann","204"
"Prenel","198"
"Schnabel","179"
"Bottner","199"
"Melton","215"
"Zaccaria","209"
"Rettelbach","208"
"Journel","187"
"Azumi","210"
"Speel","212"
"Erie","199"
"Weedon","202"
"Heemskerk","206"
"Welham","208"
"Gerlach","229"
"Oxenboll","207"
"Kuzuoka","204"
"Perng","219"
"Piazza","182"
"Halloran","190"
"Klyachko","194"
"Rohrbach","203"
"Zongker","220"
"Ernst","193"
"Riexinger","218"
"Calkin","176"
"Maliniak","217"
"Beznosov","207"
"Reeker","181"
"Kroll","200"
"Czaja","197"
"Paludetto","203"
"Honglei","208"
"Demke","202"
"Shigei","167"
"Malinowski","219"
"Sadowski","229"
"Billawala","213"
"Willoner","209"
"Kalafatis","201"
"Luke","192"
"Penttonen","218"
"Fabrizio","198"
"Swick","223"
"Osgood","248"
"Junot","182"
"Massonet","199"
"Brookner","218"
"Khasidashvili","239"
"Kalefeld","188"
"Lanphier","228"
"Terekhov","206"
"Cronin","199"
"Krupka","195"
"Stranks","187"
"Bellone","202"
"Hutton","218"
"Rotem","189"
"Merks","221"
"Remmele","216"
"Kavraki","200"
"Pleszkun","191"
"Uhrig","201"
"Ermel","210"
"Monkewich","199"
"Merlo","190"
"Giaccio","193"
"Harnett","193"
"Perin","176"
"Schaar","227"
"Kowalchuk","194"
"Leivant","202"
"Danlos","204"
"Peroz","200"
"Hiltgen","210"
"Begiun","205"
"Anger","218"
"Hiroyama","225"
"Kaminger","211"
"Kushnir","183"
"Jansch","177"
"Maccarone","181"
"Rodite","195"
"Linnainmaa","207"
"Garnick","212"
"Masada","243"
"Sluis","190"
"Velardi","173"
"Berztiss","202"
"Hemaspaandra","188"
"Pagter","195"
"Brandsma","216"
"Kruskal","189"
"Shanbhogue","215"
"Rattan","186"
"Bharadwaj","184"
"Rathonyi","189"
"Dayang","201"
"Merkl","208"
"Prochazka","199"
"Esteva","183"
"Bahi","193"
"Boyle","224"
"Randt","204"
"Rijckaert","208"
"Stille","178"
"Ponthieu","229"
"DiGiano","195"
"Thiran","214"
"Rissanen","199"
"Fetvedt","203"
"Erva","169"
"Rothe","206"
"Antonisse","211"
"Kabayashi","169"
"Murtagh","199"
"Atrawala","190"
"Eiter","211"
"Muntz","218"
"Pocchiola","216"
"Matzel","180"
"Jenevein","232"
"Georgakopoulos","181"
"Yavatkar","190"
"Swift","210"
"Heyers","212"
"Raney","202"
"Andreotta","182"
"Maginnis","184"
"Zedlitz","180"
"Milicic","210"
"Bamford","199"
"Vakili","201"
"Staelin","188"
"Sgarro","219"
"Vernadat","215"
"Thiria","188"
"Baba","248"
"Baez","202"
"Cooman","202"
"Hmelo","169"
"Grandbois","202"
"Ballarin","202"
"Ohori","219"
"McAffer","198"
"Mahmud","200"
"Coorg","245"
"Peron","206"
"Rodier","201"
"Peek","240"
"Tempesti","179"
"Krychniak","187"
"Rosiles","212"
"Haraldson","218"
"Grabner","187"
"Blokdijk","179"
"Cannard","205"
"Melter","193"
"Lorin","205"
"Walston","198"
"Makinen","200"
"Gajiwala","216"
"Monarch","212"
"Miyakawa","187"
"Lamma","225"
"Itzigehl","214"
"Schwabacher","209"
"Luks","181"
"Billingsley","201"
"Knightly","196"
"Kushner","212"
"Randi","205"
"Yamaashi","188"
"Detkin","202"
"Nilsson","177"
"Gerteisen","206"
"Comte","191"
"Strehl","213"
"Shumilov","221"
"Frijda","181"
"Rabehasaina","231"
"Ashish","212"
"Kakkar","221"
"Msuda","197"
"Pews","225"
"Narlikar","207"
